Time,ED_AI_0364,ED_AI_0395,ED_AI_0339,ED_AI_0338,ED_AI_0337,ED_AI_0336,ED_AI_0436,ED_AI_0437,ED_AI_0438,ED_AI_0439,ED_AI_0316,ED_AI_0317,ED_AI_0318,ED_AI_0319,ED_AI_0419,ED_AI_0418,ED_AI_0417,ED_AI_0416,ED_AI_0387,ED_AI_0397,ED_AI_0487,ED_AI_0410,ED_AI_0310,ED_AI_0343,ED_AI_0443,ED_AI_0366,ED_AI_0367,ED_AI_0368,ED_AI_0369,ED_AI_0469,ED_AI_0468,ED_AI_0467,ED_AI_0466,EI_AI_0110,EH_AC_3034,EH_AC_3035,EH_AC_3037,EH_AC_3040,EH_AC_3053,EH_AC_3054,EH_AC_3056,EH_AC_3059
2015/08/25,22401.18945312,13856.3046875,309.73175049,338.51245117,333.24179077,324.37973022,326.8531189,328.64471436,339.94744873,301.73596191,630.66815186,614.73742676,637.69055176,601.17797852,581.48480225,624.4017334,607.5668335,601.43988037,1232.3248291,1193.10852051,1205.52319336,829.41052246,838.40264893,1.14488304,0.99293321,2.780761,2.75280046,2.66918254,2.62956691,2.68204951,2.79984045,2.79684091,2.68393993,711.86529541,13.48307705,30.01190186,29.3008213,10.90731525,13.55327034,31.0007,29.0536232,11.16367054
2015/08/26,22371.5234375,13776.06445313,309.97000122,338.33032227,334.45440674,324.49072266,326.9296875,328.7421875,341.39971924,303.99121094,631.99560547,616.72924805,637.96850586,602.74377441,584.47521973,626.50030518,608.45849609,601.55834961,1225.96179199,1188.29394531,1197.17492676,829.26025391,837.99615479,1.15397382,1.00090969,2.80589557,2.75993848,2.68806434,2.60828638,2.68415856,2.78421903,2.78093052,2.67620945,688.49517822,13.48307705,30.01190186,29.3008213,10.90731525,13.55327034,31.0007,29.0536232,11.16367054
2015/09/03,25086.47851562,14480.83496094,336.05352783,355.67941284,361.80718994,349.40338135,354.76550293,359.16873169,365.95535278,339.97155762,637.47686768,627.29473877,636.77001953,612.77423096,606.61975098,635.98504639,626.52416992,617.65692139,1207.16552734,1179.52978516,1210.91491699,819.16772461,826.67718506,1.01726735,0.92487103,2.803128,2.74946022,2.78605485,2.64931703,2.65269899,2.77659106,2.67544389,1.77040267,706.35247803,13.48307705,30.01190186,29.3008213,10.90731525,13.27322102,29.63027954,29.36383057,10.91577244
2015/09/04,25318.390625,13873.49804688,337.81985474,355.5151062,361.53588867,349.315979,354.60745239,358.32931519,364.45706177,338.4090271,638.46789551,628.16699219,638.16125488,614.65411377,607.35797119,636.09143066,628.1619873,618.87756348,1213.76464844,1185.82653809,1212.11804199,820.67449951,832.83551025,1.1123476,0.95210439,2.80183029,2.73416424,2.76698589,2.60062766,2.66650343,2.74821377,2.68003082,2.37035036,706.50744629,13.48307705,30.01190186,29.3008213,10.90731525,13.63264751,30.57047844,29.62034416,10.52281189
2015/09/05,25554.16992187,13903.07421875,335.20916748,353.75494385,357.99368286,345.131073,348.18273926,350.8664856,359.87860107,332.01077271,636.2598877,626.41522217,637.93371582,612.77423096,599.57629395,631.30444336,620.39123535,611.96014404,1217.90478516,1185.81945801,1206.81420898,817.12390137,827.61804199,1.04728067,0.94529051,2.79382706,2.75848269,2.7292037,2.58699012,2.68567514,2.80849338,2.73541403,2.17680573,706.87060547,13.48307705,30.01190186,29.3008213,10.90731525,13.44950676,30.15839195,29.38016891,10.95715237
2015/09/06,25598.48242187,13727.97070313,334.75543213,354.02227783,357.65509033,344.52072144,348.08535767,351.16040039,359.04074097,331.00256348,634.74407959,626.43682861,638.89453125,613.38464355,597.33251953,630.45562744,620.20892334,611.87359619,1220.0604248,1187.9987793,1208.26708984,818.80493164,829.62408447,1.0513978,0.95322961,2.79627967,2.67668366,2.73714495,2.60569215,2.6925106,2.78820372,2.72839952,1.72865152,707.13995361,13.48307705,30.01190186,29.3008213,10.90731525,13.41150475,30.1198616,29.30374908,10.94260693
2015/09/07,25591.765625,14195.57324219,334.54803467,355.17779541,358.05307007,344.71844482,347.97805786,351.02035522,360.12963867,332.3140564,635.52416992,626.24951172,639.21484375,612.11212158,600.08270264,632.66033936,620.72052002,612.77423096,1218.40185547,1186.9362793,1209.3223877,818.72369385,827.81677246,1.04990697,0.93514079,2.82899904,2.72387648,2.74722362,2.63167286,2.7476666,2.77567816,2.72014904,2.14855456,707.47650146,13.48307705,30.01190186,29.3008213,10.90731525,13.51877308,30.4943676,29.57711029,10.93134308
2015/09/08,24113.19140625,14207.37304688,341.13244629,359.25488281,363.32174683,350.48513794,354.28607178,359.15658569,367.71337891,339.0642395,638.31555176,630.84802246,642.29296875,616.61877441,605.1708374,638.43310547,628.80297852,619.78088379,1218.09643555,1186.91552734,1205.1817627,833.31890869,837.7043457,1.04863727,0.93067569,2.78302908,2.6924386,2.69039488,2.54219961,2.7185142,2.70479703,2.63944793,2.36746264,708.07611084,13.48307705,30.01190186,29.3008213,10.90731525,14.10263157,31.21128082,29.93865967,9.96429348
2015/09/09,24398.75976562,14378.21777344,341.74813843,361.54748535,364.3687439,350.85855103,355.11560059,358.47775269,368.42749023,339.34509277,642.04504395,632.91522217,645.76776123,619.85180664,606.4262085,639.81097412,628.83074951,619.61889648,1221.68457031,1185.02355957,1205.36083984,833.90917969,836.47412109,1.00656199,0.91403121,2.75876069,2.69120669,2.67717767,2.53141952,2.77129865,2.79838872,2.72519064,2.5339694,708.61962891,13.48307705,30.01190186,29.3008213,10.90731525,13.90005016,31.02694702,29.94872856,10.02835178
2015/09/10,24433.67578125,14876.46191406,346.33392334,363.75845337,368.03076172,352.77246094,360.09494019,363.44104004,371.69274902,345.01153564,642.11669922,635.05102539,646.50164795,622.52728271,612.45690918,644.18060303,634.29473877,625.27386475,1213.29284668,1184.31542969,1209.9798584,834.11523437,839.53985596,1.04350865,0.9373104,2.93922472,2.8372817,2.84983802,2.691957,2.75599694,2.83458853,2.76682734,2.59214497,708.45452881,13.48307705,30.01190186,29.3008213,10.90731525,14.10142231,31.27536774,29.99442673,9.8228426
